City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,katsuura,JP,75.11,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
2,sao felix do xingu,BR,77.86,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
4,sioux lookout,CA,84.58,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
5,manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
6,butaritari,KI,82.33,light rain,3.0707,172.7902,Isles Sunset Lodge
7,jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,sechura,PE,70.52,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
14,seoul,KR,71.08,mist,37.5683,126.9778,Lotte Hotel Seoul
17,itaporanga,BR,75.15,scattered clouds,-7.3044,-38.1503,Hotel Rainha do Vale
18,san cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
21,puerto ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,sambava,MG,71.71,overcast clouds,-14.2667,50.1667,Melrose
26,ixtapa,MX,84.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
27,kawalu,ID,74.44,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
29,biak,ID,80.17,scattered clouds,-0.9131,122.8766,Penginapan Kim
31,russell,US,83.48,overcast clouds,32.3502,-85.1999,Macs
36,atuona,PF,79.27,few clouds,-9.8,-139.0333,Villa Enata
37,bethel,US,85.87,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
38,korla,CN,72.57,broken clouds,41.7597,86.1469,Gulisitan Hotel
45,pandan,PH,85.5,broken clouds,14.0453,124.1694,Bonifacio Lodge
47,saint-philippe,RE,72.95,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,arraial do cabo,BR,73.74,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,rikitea,PF,76.1,overcast clouds,-23.1203,-134.9692,Pension Maro'i
52,valdosta,US,87.71,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
53,bontang,ID,81.0,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
55,souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,faanui,PF,80.64,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,singkawang,ID,77.58,light rain,0.9,109.0,Capital O 1822 Wahana Inn
64,sabang,ID,82.71,overcast clouds,5.8933,95.3214,Hotel Citra
67,yuancheng,CN,72.61,scattered clouds,36.652,107.7896,
68,zhicheng,CN,79.77,light rain,30.2956,111.5047,Wangjiang Building
70,kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
71,acapulco,MX,86.36,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
75,corning,US,75.9,clear sky,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
77,albany,US,79.72,scattered clouds,42.6001,-73.9662,
81,hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,sibolga,ID,73.74,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
86,la ronge,CA,75.42,broken clouds,55.1001,-105.2842,Northland Motor Hotel
88,avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
89,georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
92,nieves,PH,85.51,overcast clouds,15.3274,120.9485,Bill's Inn
93,nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
98,victoria,HK,84.96,broken clouds,22.2855,114.1577,Mini Hotel Central
99,upata,VE,73.18,broken clouds,8.0086,-62.3989,Posada Villa Nela
100,namibe,AO,71.56,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
101,mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
103,mangai,CD,73.29,overcast clouds,-4.05,19.5333,
104,shelburne,CA,82.89,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
105,phan thiet,VN,81.59,overcast clouds,10.9333,108.1,Hotel Saigon-PT
107,bocaiuva,BR,71.31,scattered clouds,-17.1078,-43.815,Hotel Maxim's
110,hamilton,US,83.17,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
113,boa vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
115,makakilo city,US,83.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
118,grand gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
120,bubaque,GW,79.77,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
121,amga,RU,74.61,broken clouds,60.8953,131.9608,Algys
125,nuzvid,IN,82.38,few clouds,16.7833,80.85,HI-TECH LODGE
126,kavieng,PG,83.79,light rain,-2.5744,150.7967,Nusa Island Retreat
128,bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
130,tezu,IN,72.27,overcast clouds,27.9167,96.1667,Circuit House
134,sinnamary,GF,78.4,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
135,gamba,GA,76.48,broken clouds,-2.65,10.0,
136,broome,US,81.37,clear sky,42.2506,-75.833,Chenango Valley State Park
137,isangel,VU,78.42,broken clouds,-19.55,169.2667,Tanna Lodge
141,port blair,IN,84.11,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
143,kilindoni,TZ,79.14,light rain,-7.9139,39.6668,Bustani B&B
146,staunton,US,85.12,clear sky,38.1496,-79.0717,Hotel 24 South
148,hami,CN,72.59,overcast clouds,42.8,93.45,Laoyutang Resort
